#mockID apara_BAO aperp_BAO apara_RSD aperp_RSD fs8
156 1.040730 1.027590 0.981238 1.004938 0.549572
157 0.968185 1.056500 0.929996 1.050761 0.617424
158 1.018400 1.015130 1.004866 1.021134 0.519861
159 0.956899 1.016380 0.969570 0.987829 0.494814
160 1.026100 1.024900 0.962908 1.041989 0.648019
161 1.040810 0.994205 0.988679 0.954316 0.435011
162 1.028320 0.989879 0.969520 1.001155 0.576099
163 0.998413 0.999505 0.969591 0.985747 0.480295
164 1.024920 1.010730 0.933470 1.022290 0.536121
165 0.995208 1.000500 0.878317 1.038365 0.628169
166 1.023360 1.014940 1.061027 0.985580 0.406610
167 1.003280 1.001040 0.985802 1.015720 0.571810
168 0.997611 1.000550 0.940179 0.978092 0.516876
169 1.007390 0.996870 0.944897 1.000551 0.504282
170 0.939583 0.996561 0.925237 1.005008 0.498481
171 1.015870 1.017200 0.954143 1.006826 0.510498
172 1.048360 1.009230 0.930677 0.986841 0.554067
173 0.996335 0.970867 0.902744 0.971057 0.578684
174 1.008860 1.021660 0.987847 0.992134 0.475677
175 1.052120 1.001030 0.934446 1.018196 0.540098
176 1.089400 0.987845 1.059089 0.988190 0.397588
177 0.982161 1.010670 0.992761 1.045415 0.610032
178 1.064860 1.013750 0.902652 1.056644 0.649567
179 1.001610 1.012360 0.916812 1.020710 0.554576
180 1.039200 1.009030 1.043061 0.993641 0.444655
181 0.993789 1.015240 1.030866 1.003854 0.441376
182 1.023420 1.009880 0.993421 0.957228 0.458885
183 0.973620 1.018090 0.906243 1.019828 0.645999
184 0.976972 1.028530 0.983802 1.011778 0.486679
185 1.002640 0.989668 0.958320 0.998685 0.506784
186 1.030970 0.994012 0.975036 0.971996 0.475465
187 1.030140 1.027140 0.990937 1.005511 0.511341
188 1.041820 0.998433 1.034103 0.974884 0.404948
189 1.002040 1.011340 0.880256 1.076414 0.656093
190 1.018120 1.020720 1.021952 0.995996 0.514269
191 1.017840 0.994368 1.059977 0.955216 0.391317
192 1.001470 1.012000 0.890461 1.022202 0.629134
193 0.974612 1.029950 0.910313 1.008338 0.535863
194 1.050320 0.966599 1.021203 0.953210 0.429675
195 0.996879 0.998553 0.919162 1.016321 0.523986
196 1.037410 1.003160 1.036959 0.998002 0.458606
197 1.001000 1.022870 0.965579 0.997027 0.480163
198 0.994027 1.000250 0.993126 0.981141 0.486889
199 1.025450 1.004960 0.984436 1.024744 0.539529
200 0.983591 1.018550 0.953289 1.007466 0.559564
201 1.036390 0.982088 1.048876 0.994576 0.509920
202 1.004020 0.987146 0.984117 0.993567 0.433814
203 0.974789 1.009050 0.914009 0.990900 0.524712
204 0.990181 0.992313 0.999081 0.971399 0.439535
205 1.011220 1.035420 1.038393 0.984666 0.428147
206 1.004050 0.993749 0.989219 1.009824 0.475988
207 0.971564 1.005740 0.854137 1.024460 0.585365
208 1.050140 1.000500 0.887238 1.002706 0.583716
209 0.989804 1.027140 0.980718 0.990930 0.466871
210 1.018810 1.011290 0.947530 1.021679 0.528863
211 0.987466 0.997053 0.961399 0.987027 0.486853
212 1.018140 0.993957 0.985692 0.985249 0.476235
213 0.952695 1.035500 0.966692 1.004153 0.540508
214 0.991048 1.014710 0.937290 1.026898 0.551159
215 0.981423 1.007520 0.982030 0.975115 0.431609
216 1.024590 1.012790 0.900669 1.017628 0.605175
217 1.005830 0.997362 0.973230 1.014463 0.566953
218 1.029820 0.987437 0.992368 0.984971 0.493204
219 1.030200 1.017700 0.947616 1.021265 0.498068
